District,children_threats,missing_persons_threats,sll_crimes_threats,women_threats
Tehri Garhwal,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Child Labour']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Kidnapping And Abduction']"
Tengnoupal,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Human Trafficking', 'Cruelty By Husband Or His Relatives']"
Tenkasi,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']",,,
Thane,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Motor Vehicle Act']","['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Thanjavur,"['Section 4 And 6 Of Pocso Act Girls', 'Prohibition Of Child Marriage', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
The Nilgiris,"['Section 4 And 6 Of Pocso Act Girls', 'Other Murder', 'Muder With Rape Pocso']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Theni,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Thiruvallur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Thiruvananthapuram,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']","['Information Technology Act', 'The Copy Right Act', 'Protection Of Children From Sexual Offence']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Thoubal,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,
Thrissur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Tikamgarh,"['Rape', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",No major threats,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Girls Below 18', 'Cruelty By Husband Or His Relatives']"
Tinsukia,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Child Labour']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Tirap,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,
Tiruchirappalli,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 30 to 45 years']","['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Insult To The Modesty Of Women Above 18', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Tirunelveli,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Tirupati,"['Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'female 14 to 18 years', 'male 45 to 60 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Tiruppur,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Prohibition Of Child Marriage']",,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Immoral Traffic Prevention']",
Tiruvannamalai,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Udaipur,"['Rape', 'Missing Children Deemed As Kidnapped', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,"['Immoral Traffic Prevention', 'The Copy Right Act', 'Information Technology Act']",
Udam Singh Nagar,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Udupi,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Ukhrul,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,
Una,"['Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Prohibition Of Child Marriage']",,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Upper Siang,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",No major threats,"['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Dowry Prohibition']",No major threats
Upper Subansiri,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Muder With Rape Pocso']",No major threats,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",
Uttar Kashi,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Muder With Rape Pocso']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Uttara Kannada,"['Section 4 And 6 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls']",,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Above 18']"
Vadodara,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']",No major threats,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Valsad,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']",,,"['Kidnapping And Abduction', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Vijayapura,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Other Murder']","['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Vikarabad,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Villupuram,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'male 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Abetment To Suicide Of Women']"
Virudhunagar,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Section 12 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Wanaparthy,"['Section 4 And 6 Of Pocso Act Girls', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage', 'Other Murder']",,,
Warangal,"['Missing Children Deemed As Kidnapped', 'Section 8 And 10 Of Pocso Act Girls', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Washim,"['Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls']","['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
West,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']","['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
West Jaintia Hills,"['Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls', 'Missing Children Deemed As Kidnapped']",,,"['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
Wokha,"['Section 4 And 6 Of Pocso Act Girls', 'Muder With Rape Pocso', 'Other Murder']",,,"['Rape Women Above 18', 'Murder With Rape Gang Rape', 'Insult To The Modesty Of Women Below 18']"
Y.S.R.,"['Section 4 And 6 Of Pocso Act Girls', 'Rape', 'Kidnapping And Abduction Of Minor Girls To Compel Her For Marriage']","['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,
Yamunanagar,"['Missing Children Deemed As Kidnapped', 'Section 4 And 6 Of Pocso Act Girls', 'Section 8 And 10 Of Pocso Act Girls']",,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']",
Adilabad,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Agra,,"['male 45 to 60 years', 'female 45 to 60 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Anjaw,,No major threats,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Murder With Rape Gang Rape', 'Rape Women Above 18']"
Araria,,"['female 14 to 18 years', 'female 18 to 30 years', 'female 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Rape Girls Below 18']"
Ballari,,"['female 18 to 30 years', 'male 30 to 45 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Banas Kantha,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Banswara,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Bareilly,,No major threats,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Bhadrak,,No major threats,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Girls Below 18']"
Bhagalpur,,"['female 14 to 18 years', 'female 18 to 30 years', 'female 5 to 14 years']","['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Information Technology Act']","['Rape Girls Below 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Bhind,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Chandigarh,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Coimbatore,,"['female 30 to 45 years', 'female 14 to 18 years', 'female 18 to 30 years']","['City Town Police Acts', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Dadra And Nagar Haveli,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Daman,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Dhemaji,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Doda,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Durg,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Chit Funds Acts']","['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Fatehabad,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Pre Natal Diagnostic Techniques Reg And Prev Of Misuse', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Fatehgarh Sahib,,"['male 18 to 30 years', 'male 30 to 45 years', 'female 18 to 30 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Immoral Traffic Prevention']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Fatehpur,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Insult To The Modesty Of Women Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Gariyaband,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Kidnapping And Abduction']"
Gorakhpur,,No major threats,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Dowry Deaths']"
Gurugram,,No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Copy Right Act']",No major threats
Hamirpur,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Hanumangarh,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Child Labour Prohibition Regulation', 'Information Technology Act', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Hazaribagh,,"['female 14 to 18 years', 'male 5 to 14 years', 'female 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Rape Girls Below 18']"
Hisar,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Imphal East,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Cruelty By Husband Or His Relatives']"
Indore,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Immoral Traffic Prevention']",No major threats
Jabalpur,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']",No major threats,"['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Jagatsinghapur,,No major threats,,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Jagitial,,"['female 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'Information Technology Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Jalore,,"['female 18 to 30 years', 'female 14 to 18 years', 'male 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Janjgir-Champa,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Jehanabad,,"['female 5 to 14 years', 'female 14 to 18 years', 'male 5 to 14 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Dowry Deaths']"
Kachchh,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Motor Vehicle Act', 'Protection Of Children From Sexual Offence', 'Child Labour Prohibition Regulation']","['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Kamrup,,"['female 30 to 45 years', 'female 18 to 30 years', 'female 14 to 18 years']","['Information Technology Act', 'Protection Of Children From Sexual Offence', 'Motor Vehicle Act']","['Cruelty By Husband Or His Relatives', 'Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
Kannauj,,"['male 18 to 30 years', 'male 30 to 45 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Katni,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction']"
Khordha,,No major threats,"['Dowry Prohibition', 'Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kodagu,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives']"
Kullu,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 18 to 30 years']","['Immoral Traffic Prevention', 'The Copy Right Act', 'Protection Of Children From Sexual Offence']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Kumuram Bheem Asifabad,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Lower Subansiri,,No major threats,,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Mirzapur,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Rape Girls Below 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Moradabad,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Assault On Women With Intent To Outrage Her Modesty Below 18']"
Murshidabad,,"['female 14 to 18 years', 'male 14 to 18 years', 'female 18 to 30 years']",,"['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Attempt To Commit Rape Above 18']"
Muzaffarnagar,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']",,"['Cruelty By Husband Or His Relatives', 'Dowry Deaths', 'Rape Girls Below 18']"
Muzaffarpur,,"['female 14 to 18 years', 'female 18 to 30 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction', 'Rape Girls Below 18']"
Nadia,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']",,"['Cruelty By Husband Or His Relatives', 'Attempt To Commit Rape Above 18', 'Rape Girls Below 18']"
Nandurbar,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'City Town Police Acts', 'Motor Vehicle Act']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
Narmada,,"['female 18 to 30 years', 'male 30 to 45 years', 'male 45 to 60 years']",,"['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Abetment To Suicide Of Women']"
Neemuch,,"['female 18 to 30 years', 'male 18 to 30 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Immoral Traffic Prevention', 'The Copy Right Act']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Kidnapping And Abduction']"
Pakke Kessang,,No major threats,"['Protection Of Children From Sexual Offence', 'Dowry Prohibition', 'Immoral Traffic Prevention']",No major threats
Panchkula,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'The Chit Funds Acts']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Papum Pare,,No major threats,"['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Kidnapping And Abduction', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Pauri Garhwal,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Cruelty By Husband Or His Relatives', 'Kidnapping And Abduction', 'Rape Women Above 18']"
Pulwama,,"['male 18 to 30 years', 'female 18 to 30 years', 'male 30 to 45 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Girls Below 18']"
Rae Bareli,,"['female 14 to 18 years', 'female 18 to 30 years', 'male 45 to 60 years']",,"['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18', 'Dowry Deaths']"
Raigarh,,"['female 18 to 30 years', 'female 30 to 45 years', 'female 14 to 18 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Rape Women Above 18', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Rajouri,,"['female 18 to 30 years', 'female 30 to 45 years', 'male 18 to 30 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Prohibition Of Child Marriage']","['Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives', 'Rape Women Above 18']"
Ratlam,,"['female 18 to 30 years', 'female 14 to 18 years', 'female 30 to 45 years']","['Protection Of Children From Sexual Offence', 'The Copy Right Act', 'Immoral Traffic Prevention']","['Kidnapping And Abduction', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Cruelty By Husband Or His Relatives']"
Rohtak,,"['female 18 to 30 years', 'male 18 to 30 years', 'male 30 to 45 years']","['Protection Of Children From Sexual Offence', 'Information Technology Act', 'Dowry Prohibition']","['Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18', 'Rape Women Above 18']"
Rudra Prayag,,No major threats,,"['Rape Women Above 18', 'Cruelty By Husband Or His Relatives', 'Assault On Women With Intent To Outrage Her Modesty Above 18']"
